FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E06000019,2015,Rank of scale,,124,b. Income Deprivation Domain
E07000218,2015,Scale,,6861,b. Income Deprivation Domain
E07000099,2015,Rank of extent,,233,a. Index of Multiple Deprivation (IMD)
E06000013,2015, Local concentration,,31014,a. Index of Multiple Deprivation (IMD)
E07000098,2015,Scale,,4724,c. Employment Deprivation Domain
E07000098,2015,Rank of scale,,230,b. Income Deprivation Domain
E09000032,2015,Rank of scale,,59,b. Income Deprivation Domain
E07000032,2015,Rank of extent,,159,a. Index of Multiple Deprivation (IMD)
E06000013,2015,Scale,,12359,c. Employment Deprivation Domain
E07000033,2015, Local concentration,,29282,a. Index of Multiple Deprivation (IMD)
E07000098,2015, Local concentration,,23691,a. Index of Multiple Deprivation (IMD)
E06000013,2015,Rank of scale,,101,c. Employment Deprivation Domain
E07000042,2015,Scale,,8066,b. Income Deprivation Domain
E08000022,2015,Scale,,32764,b. Income Deprivation Domain
E07000032,2015,Scale,,15381,b. Income Deprivation Domain
E07000139,2015,Scale,,9859,b. Income Deprivation Domain
E06000013,2015,Scale,,25170,b. Income Deprivation Domain
E06000014,2015,Extent,,0.06,a. Index of Multiple Deprivation (IMD)
E09000033,2015,Rank of extent,,66,a. Index of Multiple Deprivation (IMD)
E06000013,2015,Rank of scale,,104,b. Income Deprivation Domain
E07000139,2015,Rank of scale,,234,c. Employment Deprivation Domain
E07000154,2015,Scale,,31109,b. Income Deprivation Domain
E07000032,2015,Extent,,0.1,a. Index of Multiple Deprivation (IMD)
E07000172,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E09000032,2015,Rank of local concentration,,180,a. Index of Multiple Deprivation (IMD)
E08000022,2015,Rank of scale,,81,b. Income Deprivation Domain
E07000042,2015,Rank of local concentration,,226,a. Index of Multiple Deprivation (IMD)
E07000154,2015,Rank of extent,,71,a. Index of Multiple Deprivation (IMD)
E07000098,2015,Rank of scale,,246,c. Employment Deprivation Domain
E07000187,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E06000019,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E07000066,2015,Rank of extent,,81,a. Index of Multiple Deprivation (IMD)
E08000022,2015,Rank of extent,,104,a. Index of Multiple Deprivation (IMD)
E08000022,2015,Scale,,16823,c. Employment Deprivation Domain
E07000098,2015,Scale,,10253,b. Income Deprivation Domain
E09000032,2015,Scale,,17095,c. Employment Deprivation Domain
E08000022,2015,Rank of local concentration,,110,a. Index of Multiple Deprivation (IMD)
E07000080,2015,Rank of scale,,247,c. Employment Deprivation Domain
E07000042,2015,Rank of scale,,278,c. Employment Deprivation Domain
E09000032,2015,Scale,,39027,b. Income Deprivation Domain
E07000098,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E07000154,2015, Local concentration,,31176,a. Index of Multiple Deprivation (IMD)
E07000172,2015,Scale,,12507,b. Income Deprivation Domain
E07000218,2015,Scale,,3373,c. Employment Deprivation Domain
E07000218,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E07000042,2015,Scale,,3706,c. Employment Deprivation Domain
E07000044,2015,Scale,,3687,c. Employment Deprivation Domain
E08000019,2015,Rank of extent,,47,a. Index of Multiple Deprivation (IMD)
E08000003,2015,Extent,,0.59,a. Index of Multiple Deprivation (IMD)
E07000173,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E06000046,2015,Rank of local concentration,,148,a. Index of Multiple Deprivation (IMD)
E07000180,2015,Rank of scale,,266,b. Income Deprivation Domain
E07000221,2015, Local concentration,,19508,a. Index of Multiple Deprivation (IMD)
E07000044,2015,Rank of scale,,279,c. Employment Deprivation Domain
E07000234,2015,Scale,,7576,b. Income Deprivation Domain
E08000003,2015,Rank of scale,,2,b. Income Deprivation Domain
E07000030,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E08000003,2015,Scale,,123532,b. Income Deprivation Domain
E07000153,2015,Scale,,12026,b. Income Deprivation Domain
E08000019,2015,Rank of local concentration,,29,a. Index of Multiple Deprivation (IMD)
E06000046,2015,Rank of scale,,120,b. Income Deprivation Domain
E07000221,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000141,2015,Scale,,14036,b. Income Deprivation Domain
E07000081,2015, Local concentration,,31345,a. Index of Multiple Deprivation (IMD)
E06000046,2015,Rank of extent,,130,a. Index of Multiple Deprivation (IMD)
E06000015,2015,Scale,,21115,c. Employment Deprivation Domain
E07000094,2015,Rank of extent,,286,a. Index of Multiple Deprivation (IMD)
E07000221,2015,Rank of scale,,261,c. Employment Deprivation Domain
E08000021,2015,Rank of scale,,31,b. Income Deprivation Domain
E07000141,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E07000153,2015,Extent,,0.16,a. Index of Multiple Deprivation (IMD)
E08000003,2015, Local concentration,,32571,a. Index of Multiple Deprivation (IMD)
E07000006,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E07000141,2015,Scale,,6694,c. Employment Deprivation Domain
E08000021,2015,Extent,,0.35,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Rank of local concentration,,89,a. Index of Multiple Deprivation (IMD)
E06000011,2015,Scale,,36420,b. Income Deprivation Domain
E07000006,2015, Local concentration,,16930,a. Index of Multiple Deprivation (IMD)
E07000094,2015,Scale,,3820,c. Employment Deprivation Domain
E07000141,2015,Rank of scale,,181,c. Employment Deprivation Domain
E06000046,2015, Local concentration,,28875,a. Index of Multiple Deprivation (IMD)
E07000030,2015,Scale,,3894,b. Income Deprivation Domain
E07000030,2015,Rank of local concentration,,282,a. Index of Multiple Deprivation (IMD)
E07000153,2015,Scale,,6061,c. Employment Deprivation Domain
E07000141,2015,Rank of scale,,174,b. Income Deprivation Domain
E08000003,2015,Scale,,57127,c. Employment Deprivation Domain
E07000094,2015,Rank of scale,,273,b. Income Deprivation Domain
E07000141,2015,Rank of extent,,198,a. Index of Multiple Deprivation (IMD)
E06000015,2015, Local concentration,,32078,a. Index of Multiple Deprivation (IMD)
E07000066,2015,Scale,,12666,c. Employment Deprivation Domain
E07000030,2015, Local concentration,,20661,a. Index of Multiple Deprivation (IMD)
E07000094,2015,Rank of local concentration,,291,a. Index of Multiple Deprivation (IMD)
E07000030,2015,Scale,,2037,c. Employment Deprivation Domain
E06000046,2015,Extent,,0.16,a. Index of Multiple Deprivation (IMD)
E07000044,2015,Rank of extent,,280,a. Index of Multiple Deprivation (IMD)
E07000142,2015,Rank of local concentration,,111,a. Index of Multiple Deprivation (IMD)
E07000234,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E06000046,2015,Rank of scale,,118,c. Employment Deprivation Domain
E08000003,2015,Rank of extent,,1,a. Index of Multiple Deprivation (IMD)
E07000180,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E07000142,2015,Extent,,0.13,a. Index of Multiple Deprivation (IMD)
E07000221,2015,Scale,,9516,b. Income Deprivation Domain
E07000093,2015,Scale,,8837,b. Income Deprivation Domain
E07000081,2015,Scale,,18006,b. Income Deprivation Domain
E06000016,2015,Rank of extent,,27,a. Index of Multiple Deprivation (IMD)
E07000044,2015,Rank of scale,,268,b. Income Deprivation Domain
E07000142,2015, Local concentration,,30244,a. Index of Multiple Deprivation (IMD)
E08000019,2015,Scale,,46227,c. Employment Deprivation Domain
E06000046,2015,Scale,,10336,c. Employment Deprivation Domain
E07000234,2015,Rank of scale,,277,b. Income Deprivation Domain
E07000094,2015,Rank of scale,,274,c. Employment Deprivation Domain
E07000234,2015,Scale,,3986,c. Employment Deprivation Domain
E07000180,2015, Local concentration,,16917,a. Index of Multiple Deprivation (IMD)
E07000180,2015,Rank of local concentration,,308,a. Index of Multiple Deprivation (IMD)
E07000044,2015, Local concentration,,21434,a. Index of Multiple Deprivation (IMD)
E07000094,2015,Scale,,7688,b. Income Deprivation Domain
E07000044,2015,Scale,,8087,b. Income Deprivation Domain
E07000180,2015,Rank of scale,,269,c. Employment Deprivation Domain
E08000003,2015,Rank of local concentration,,11,a. Index of Multiple Deprivation (IMD)
E07000141,2015, Local concentration,,25926,a. Index of Multiple Deprivation (IMD)
E07000141,2015,Rank of local concentration,,200,a. Index of Multiple Deprivation (IMD)
E07000094,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E06000046,2015,Scale,,21259,b. Income Deprivation Domain
E07000221,2015,Rank of scale,,250,b. Income Deprivation Domain
E07000094,2015, Local concentration,,19421,a. Index of Multiple Deprivation (IMD)
E07000153,2015,Rank of scale,,195,c. Employment Deprivation Domain
E07000180,2015,Scale,,3941,c. Employment Deprivation Domain
E08000003,2015,Rank of scale,,4,c. Employment Deprivation Domain
E06000015,2015,Rank of local concentration,,35,a. Index of Multiple Deprivation (IMD)
E07000173,2015,Scale,,13368,b. Income Deprivation Domain
E06000015,2015,Rank of extent,,49,a. Index of Multiple Deprivation (IMD)
E07000030,2015,Rank of scale,,311,c. Employment Deprivation Domain
E07000221,2015,Rank of local concentration,,289,a. Index of Multiple Deprivation (IMD)
E07000080,2015,Extent,,0.03,a. Index of Multiple Deprivation (IMD)
E07000181,2015, Local concentration,,18522,a. Index of Multiple Deprivation (IMD)
E07000095,2015,Rank of extent,,182,a. Index of Multiple Deprivation (IMD)
E07000220,2015,Rank of scale,,247,b. Income Deprivation Domain
E07000140,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E08000001,2015,Rank of local concentration,,43,a. Index of Multiple Deprivation (IMD)
E08000021,2015,Scale,,26806,c. Employment Deprivation Domain
E06000011,2015,Scale,,18653,c. Employment Deprivation Domain
E07000153,2015, Local concentration,,30032,a. Index of Multiple Deprivation (IMD)
E08000001,2015,Scale,,25765,c. Employment Deprivation Domain
E07000095,2015,Scale,,12186,b. Income Deprivation Domain
E07000080,2015,Rank of extent,,218,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Rank of scale,,96,b. Income Deprivation Domain
E07000080,2015,Rank of local concentration,,218,a. Index of Multiple Deprivation (IMD)
E07000031,2015,Rank of scale,,271,c. Employment Deprivation Domain
E06000011,2015,Rank of scale,,60,c. Employment Deprivation Domain
E08000002,2015,Scale,,14942,c. Employment Deprivation Domain
E07000031,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000031,2015,Scale,,7251,b. Income Deprivation Domain
E07000181,2015,Rank of scale,,288,b. Income Deprivation Domain
E07000220,2015,Rank of scale,,250,c. Employment Deprivation Domain
E06000011,2015,Rank of local concentration,,138,a. Index of Multiple Deprivation (IMD)
E06000015,2015,Rank of scale,,51,c. Employment Deprivation Domain
E07000140,2015,Rank of scale,,241,c. Employment Deprivation Domain
E08000001,2015, Local concentration,,31900,a. Index of Multiple Deprivation (IMD)
E08000001,2015,Extent,,0.38,a. Index of Multiple Deprivation (IMD)
E07000140,2015,Scale,,4871,c. Employment Deprivation Domain
E07000154,2015,Rank of scale,,87,b. Income Deprivation Domain
E07000006,2015,Scale,,2027,c. Employment Deprivation Domain
E07000140,2015,Rank of extent,,242,a. Index of Multiple Deprivation (IMD)
E07000220,2015, Local concentration,,24370,a. Index of Multiple Deprivation (IMD)
E06000012,2015,Scale,,32567,b. Income Deprivation Domain
E07000181,2015,Scale,,6998,b. Income Deprivation Domain
E07000220,2015,Rank of extent,,234,a. Index of Multiple Deprivation (IMD)
E07000235,2015,Scale,,7685,b. Income Deprivation Domain
E07000043,2015,Rank of local concentration,,137,a. Index of Multiple Deprivation (IMD)
E07000220,2015,Scale,,4627,c. Employment Deprivation Domain
E07000172,2015,Scale,,6611,c. Employment Deprivation Domain
E07000031,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E07000095,2015,Rank of local concentration,,186,a. Index of Multiple Deprivation (IMD)
E08000001,2015,Rank of scale,,35,b. Income Deprivation Domain
E07000006,2015,Rank of scale,,312,c. Employment Deprivation Domain
E07000043,2015,Scale,,11452,b. Income Deprivation Domain
E06000011,2015,Rank of extent,,164,a. Index of Multiple Deprivation (IMD)
E07000095,2015,Extent,,0.07,a. Index of Multiple Deprivation (IMD)
E07000080,2015,Scale,,9701,b. Income Deprivation Domain
E07000006,2015,Rank of local concentration,,307,a. Index of Multiple Deprivation (IMD)
E07000006,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Rank of extent,,106,a. Index of Multiple Deprivation (IMD)
E08000002,2015, Local concentration,,30877,a. Index of Multiple Deprivation (IMD)
E08000021,2015,Rank of extent,,45,a. Index of Multiple Deprivation (IMD)
E06000015,2015,Scale,,45190,b. Income Deprivation Domain
E08000021,2015,Rank of local concentration,,13,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E07000220,2015,Scale,,9553,b. Income Deprivation Domain
E07000153,2015,Rank of scale,,199,b. Income Deprivation Domain
E08000021,2015, Local concentration,,32429,a. Index of Multiple Deprivation (IMD)
E07000220,2015,Extent,,0.02,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Scale,,28313,b. Income Deprivation Domain
E07000095,2015,Scale,,5304,c. Employment Deprivation Domain
E07000081,2015,Rank of scale,,133,b. Income Deprivation Domain
E07000031,2015,Scale,,3879,c. Employment Deprivation Domain
E07000181,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000081,2015,Rank of local concentration,,67,a. Index of Multiple Deprivation (IMD)
E07000081,2015,Rank of extent,,94,a. Index of Multiple Deprivation (IMD)
E07000181,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E06000015,2015,Rank of scale,,49,b. Income Deprivation Domain
E07000031,2015,Rank of scale,,285,b. Income Deprivation Domain
E07000220,2015,Rank of local concentration,,231,a. Index of Multiple Deprivation (IMD)
E07000095,2015,Rank of scale,,222,c. Employment Deprivation Domain
E07000031,2015, Local concentration,,20374,a. Index of Multiple Deprivation (IMD)
E07000095,2015,Rank of scale,,195,b. Income Deprivation Domain
E06000015,2015,Extent,,0.34,a. Index of Multiple Deprivation (IMD)
E07000095,2015, Local concentration,,26756,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Rank of scale,,85,c. Employment Deprivation Domain
E07000080,2015, Local concentration,,25052,a. Index of Multiple Deprivation (IMD)
E07000031,2015,Rank of local concentration,,285,a. Index of Multiple Deprivation (IMD)
E07000234,2015,Rank of local concentration,,247,a. Index of Multiple Deprivation (IMD)
E07000140,2015,Scale,,10477,b. Income Deprivation Domain
E07000140,2015, Local concentration,,24325,a. Index of Multiple Deprivation (IMD)
E06000011,2015,Extent,,0.09,a. Index of Multiple Deprivation (IMD)
E06000011,2015, Local concentration,,29370,a. Index of Multiple Deprivation (IMD)
E06000011,2015,Rank of scale,,70,b. Income Deprivation Domain
E07000043,2015,Rank of scale,,223,c. Employment Deprivation Domain
E07000153,2015,Rank of local concentration,,119,a. Index of Multiple Deprivation (IMD)
E07000153,2015,Rank of extent,,127,a. Index of Multiple Deprivation (IMD)
E06000033,2015, Local concentration,,31444,a. Index of Multiple Deprivation (IMD)
E07000105,2015,Rank of scale,,190,c. Employment Deprivation Domain
E07000135,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Rank of scale,,7,b. Income Deprivation Domain
E07000135,2015,Scale,,5521,b. Income Deprivation Domain
E08000024,2015,Extent,,0.37,a. Index of Multiple Deprivation (IMD)
E07000155,2015,Rank of scale,,305,c. Employment Deprivation Domain
E09000028,2015,Rank of local concentration,,134,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Scale,,91190,b. Income Deprivation Domain
E07000135,2015,Rank of scale,,299,b. Income Deprivation Domain
E07000189,2015,Rank of scale,,150,c. Employment Deprivation Domain
E09000028,2015,Extent,,0.37,a. Index of Multiple Deprivation (IMD)
E07000135,2015,Rank of scale,,300,c. Employment Deprivation Domain
E06000009,2015,Rank of scale,,69,b. Income Deprivation Domain
E07000236,2015,Extent,,0.22,a. Index of Multiple Deprivation (IMD)
E07000040,2015,Rank of scale,,213,c. Employment Deprivation Domain
E06000025,2015,Scale,,11416,c. Employment Deprivation Domain
E07000216,2015,Scale,,3687,c. Employment Deprivation Domain
E07000105,2015,Rank of local concentration,,167,a. Index of Multiple Deprivation (IMD)
E07000189,2015,Scale,,7850,c. Employment Deprivation Domain
E07000105,2015,Scale,,14614,b. Income Deprivation Domain
E06000032,2015, Local concentration,,30210,a. Index of Multiple Deprivation (IMD)
E09000027,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E07000216,2015,Rank of scale,,279,c. Employment Deprivation Domain
E09000027,2015,Scale,,6585,c. Employment Deprivation Domain
E08000024,2015,Rank of extent,,37,a. Index of Multiple Deprivation (IMD)
E06000009,2015, Local concentration,,32833,a. Index of Multiple Deprivation (IMD)
E07000105,2015,Rank of extent,,167,a. Index of Multiple Deprivation (IMD)
E07000216,2015,Rank of extent,,278,a. Index of Multiple Deprivation (IMD)
E06000033,2015,Scale,,13876,c. Employment Deprivation Domain
E07000078,2015,Rank of local concentration,,149,a. Index of Multiple Deprivation (IMD)
E09000027,2015,Rank of scale,,180,b. Income Deprivation Domain
E07000040,2015,Rank of scale,,206,b. Income Deprivation Domain
E07000040,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E07000040,2015,Rank of extent,,267,a. Index of Multiple Deprivation (IMD)
E09000027,2015,Scale,,13666,b. Income Deprivation Domain
E06000033,2015,Rank of local concentration,,62,a. Index of Multiple Deprivation (IMD)
E06000047,2015, Local concentration,,31246,a. Index of Multiple Deprivation (IMD)
E07000105,2015, Local concentration,,27995,a. Index of Multiple Deprivation (IMD)
E09000027,2015, Local concentration,,21255,a. Index of Multiple Deprivation (IMD)
E08000024,2015,Rank of local concentration,,45,a. Index of Multiple Deprivation (IMD)
E07000105,2015,Extent,,0.09,a. Index of Multiple Deprivation (IMD)
E07000135,2015,Rank of extent,,202,a. Index of Multiple Deprivation (IMD)
E07000189,2015,Rank of extent,,185,a. Index of Multiple Deprivation (IMD)
E07000136,2015,Rank of scale,,256,c. Employment Deprivation Domain
E07000216,2015,Scale,,7433,b. Income Deprivation Domain
E09000028,2015,Rank of scale,,26,c. Employment Deprivation Domain
E07000189,2015,Rank of local concentration,,179,a. Index of Multiple Deprivation (IMD)
E06000032,2015,Scale,,15524,c. Employment Deprivation Domain
E06000025,2015, Local concentration,,22792,a. Index of Multiple Deprivation (IMD)
E06000025,2015,Rank of scale,,113,b. Income Deprivation Domain
E06000009,2015,Scale,,36489,b. Income Deprivation Domain
E06000025,2015,Extent,,0.01,a. Index of Multiple Deprivation (IMD)
E09000028,2015, Local concentration,,29503,a. Index of Multiple Deprivation (IMD)
E09000028,2015,Rank of extent,,38,a. Index of Multiple Deprivation (IMD)
E07000067,2015,Rank of local concentration,,225,a. Index of Multiple Deprivation (IMD)
E07000136,2015,Scale,,4294,c. Employment Deprivation Domain
E07000040,2015,Scale,,5448,c. Employment Deprivation Domain
